LCSC Part,First Category,Second Category,MFR.Part,Package,Solder JointManufacturer,Library Type,Description,Datasheet,Stock,Price
C17455,Resistors,Chip Resistor - Surface Mount,0805W8F1302T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 13kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F1302T5E_C17455.pdf,31593,"20-180:0.001549296,200-980:0.001215493,1000-1980:0.000881690,2000-9980:0.000802817,10000-10020:0.000697183,10040-:0.000697183"
C17470,Resistors,Chip Resistor - Surface Mount,0805W8F1503T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 150kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F1503T5E_C17470.pdf,170246,"20-180:0.001549296,200-980:0.001218310,1000-1980:0.001001408,2000-9980:0.000922535,10000-10020:0.000818310,10040-:0.000818310"
C17471,Resistors,Chip Resistor - Surface Mount,0805W8F1500T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 150Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F1500T5E_C17471.pdf,376242,"20-180:0.001535211,200-980:0.001207042,1000-1980:0.001000000,2000-9980:0.000921127,10000-10020:0.000816901,10040-:0.000816901"
C17475,Resistors,Chip Resistor - Surface Mount,0805W8F1502T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 15kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F1502T5E_C17475.pdf,329625,"20-180:0.001521127,200-980:0.001190141,1000-1980:0.000992958,2000-9980:0.000914085,10000-10020:0.000809859,10040-:0.000809859"
C17477,Resistors,Chip Resistor - Surface Mount,0805W8F0000T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±800ppm/℃ ±1% 0Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F0000T5E_C17477.pdf,1339806,"20-180:0.001478873,10040-:0.000738028,200-980:0.001149296,2000-9980:0.000842254,1000-1980:0.000921127,10000-10020:0.000738028"
C17480,Resistors,Chip Resistor - Surface Mount,0805W8F150JT5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 15Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F150JT5E_C17480.pdf,135691,"20-180:0.001549296,200-980:0.001219718,1000-1980:0.000990141,2000-9980:0.000911268,10000-10020:0.000808451,10040-:0.000808451"
C17490,Resistors,Chip Resistor - Surface Mount,0805W8F1602T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 16kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F1602T5E_C17490.pdf,29275,"20-180:0.001507042,200-980:0.001178873,1000-1980:0.001004225,2000-9980:0.000925352,10000-10020:0.000819718,10040-:0.000819718"
C17501,Resistors,Chip Resistor - Surface Mount,0805W8F1803T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 180kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F1803T5E_C17501.pdf,58355,"20-180:0.001563380,200-980:0.001229577,1000-1980:0.000928169,2000-9980:0.000847887,10000-10020:0.000742254,10040-:0.000742254"
C17506,Resistors,Chip Resistor - Surface Mount,0805W8F1802T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 18kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F1802T5E_C17506.pdf,101196,"20-180:0.001492958,200-980:0.001167606,1000-1980:0.000994366,2000-9980:0.000915493,10000-10020:0.000812676,10040-:0.000812676"
C17513,Resistors,Chip Resistor - Surface Mount,0805W8F1001T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 1kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311800_UNI-ROYAL-Uniroyal-Elec-0805W8F1001T5E_C17513.pdf,5538815,"20-180:0.001464789,10040-:0.000719718,200-980:0.001146479,2000-9980:0.000822535,1000-1980:0.000901408,10000-10020:0.000719718"
C17514,Resistors,Chip Resistor - Surface Mount,0805W8F1004T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 1MΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F1004T5E_C17514.pdf,553539,"20-180:0.001563380,200-980:0.001233803,1000-1980:0.001005634,2000-9980:0.000925352,10000-10020:0.000821127,10040-:0.000821127"
C17520,Resistors,Chip Resistor - Surface Mount,0805W8F2201T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 2.2kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2201T5E_C17520.pdf,657237,"20-180:0.001492958,200-980:0.001171831,1000-1980:0.000992958,2000-9980:0.000915493,10000-10020:0.000811268,10040-:0.000811268"
C17521,Resistors,Chip Resistor - Surface Mount,0805W8F220KT5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±1% ±400ppm/℃ 2.2Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F220KT5E_C17521.pdf,124865,"20-180:0.002507042,200-980:0.001957746,1000-1980:0.001619718,2000-9980:0.001478873,10000-10020:0.001314085,10040-:0.001314085"
C17526,Resistors,Chip Resistor - Surface Mount,0805W8F2401T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 2.4kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2401T5E_C17526.pdf,95853,"20-180:0.001507042,200-980:0.001181690,1000-1980:0.001002817,2000-9980:0.000923944,10000-10020:0.000818310,10040-:0.000818310"
C17530,Resistors,Chip Resistor - Surface Mount,0805W8F2701T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 2.7kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2701T5E_C17530.pdf,223177,"20-180:0.001492958,200-980:0.001170423,1000-1980:0.000997183,2000-9980:0.000918310,10000-10020:0.000814085,10040-:0.000814085"
C17539,Resistors,Chip Resistor - Surface Mount,0805W8F2003T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 200kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2003T5E_C17539.pdf,266315,"20-180:0.001521127,200-980:0.001198592,1000-1980:0.001000000,2000-9980:0.000921127,10000-10020:0.000816901,10040-:0.000816901"
C17540,Resistors,Chip Resistor - Surface Mount,0805W8F2000T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 200Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2000T5E_C17540.pdf,448742,"20-180:0.001507042,200-980:0.001171831,1000-1980:0.001000000,2000-9980:0.000921127,10000-10020:0.000815493,10040-:0.000815493"
C17544,Resistors,Chip Resistor - Surface Mount,0805W8F200JT5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±1% ±200ppm/℃ 20Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F200JT5E_C17544.pdf,105598,"20-180:0.001492958,200-980:0.001159155,1000-1980:0.000943662,2000-9980:0.000863380,10000-10020:0.000759155,10040-:0.000759155"
C17556,Resistors,Chip Resistor - Surface Mount,0805W8F2203T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 220kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2203T5E_C17556.pdf,91090,"20-180:0.001535211,200-980:0.001202817,1000-1980:0.001004225,2000-9980:0.000923944,10000-10020:0.000819718,10040-:0.000819718"
